Type,Comment,ID,Name,Country,Latitude,Longitude,Upload Status,Downloading,Scratch
PS TOA and SR,Tropical wetland,BR-Npw,Pantanal of Mato Gross,Brazil,-16.4981,-56.4119,,Gavin,"(""BR-Npw"", ""Pantanal of Mato Gross"", -16.49806, -56.41194),"
PS TOA and SR,Tropical wetland,BW-Gum,Guma,Botswana,-18.9647,22.3711,Uploaded,Gavin,"(""BW-Gum"", ""Guma"", -18.9647, 22.3711),"
PS TOA and SR,Tropical wetland,BW-Nxr,Nxaraga,Botswana,-19.5481,23.1792,Uploaded,Gavin,"(""BW-Nxr"", ""Nxaraga"", -19.5481, 23.1792),"
PS TOA and SR,Wetland upscaling,CA-SCB,Scotty Creek Bog,Canada,61.3089,-121.2984,Only 30 Files,Gavin,"(""CA-SCB"", ""Scotty Creek Bog"", 61.3089, -121.2984),"
PS TOA and SR,Wetland upscaling,CA-SCC,Scotty Creek Landscape,Canada,61.3079,-121.2992,Uploaded,Gavin,"(""CA-SCC"", ""Scotty Creek Landscape"", 61.3079, -121.2992),"
PS TOA and SR,Wetland upscaling,DE-Hte,Huetelmoor,Germany,54.210278,12.176111,Uploaded,Gavin,"(""DE-Hte"", ""Huetelmoor"", 54.210278, 12.176111),"
PS TOA and SR,Wetland upscaling,DE-SfN,Schechenfilz Nord,Germany,47.80639,11.3275,Uploaded,Gavin,"(""DE-SfN"", ""Schechenfilz Nord"", 47.80639, 11.3275),"
PS TOA and SR,Wetland upscaling,DE-Zrk,Zarnekow,Germany,53.87594,12.88901,Uploaded,Gavin,"(""DE-Zrk"", ""Zarnekow"", 53.87594, 12.88901),"
PS TOA and SR,Wetland upscaling,FI-Lom,Lompolojankka,Finland,67.99724,24.20918,Uploaded,Gavin,"(""FI-Lom"", ""Lompolojankka"", 67.99724, 24.20918),"
PS TOA and SR,Wetland upscaling,FI-Si2,Siikaneva-2 Bog,Finland,61.8372,24.1967,Uploaded,Aarin,"(""FI-Si2"", ""Siikaneva-2 Bog"", 61.8372, 24.1967),"
